Kecamatan,Kelurahan,Lintang Selatan,Bujur Timur,Ketinggian (dpl)
Bandung Kulon,Gempolsari,-6.92911,107.55907,696
Bandung Kulon,Cigondewah Kaler,-6.93411,107.56361,700
Bandung Kulon,Cigondewah Kidul,-6.94386,107.56005,686
Bandung Kulon,Cigondewah Rahayu,-6.94889,107.56314,683
Bandung Kulon,Caringin,-6.92727,107.57698,702
Bandung Kulon,Warungmuncang,-6.92495,107.57698,400
Bandung Kulon,Cibuntu,-6.91819,107.57328,716
Bandung Kulon,Cijerah,-6.92018,107.56948,713
Babakan Ciparay,Margasuka,-6.9527,107.5673,681
Babakan Ciparay,Cirangrang,-6.9593,107.585,674
Babakan Ciparay,Margahayu Utara,-6.9526,107.5809,684
Babakan Ciparay,Babakanciparay,-6.9437,107.5776,689
Babakan Ciparay,Babakan,-6.9282,107.5783,707
Babakan Ciparay,Sukahaji,-6.9336,107.5832,701
Bojongloa Kaler,Kopo,-6.9378,107.5853,696
Bojongloa Kaler,Suka Asih,-6.9351,107.5891,701
Bojongloa Kaler,Babakan Asih,-6.9346,107.5944,699
Bojongloa Kaler,Babakan Tarogong,-6.9301,107.5892,706
Bojongloa Kaler,Jamika,-6.9234,107.5872,713
Bojongloa kidul,Cibaduyut Kidul,-6.96069,107.59143,674
Bojongloa kidul,Cibaduyut Wetan,-6.96016,107.59779,675
Bojongloa kidul,Mekarwangi,-6.95673,107.61061,676
Bojongloa kidul,Cibaduyut,-6.95341,107.61061,682
Bojongloa kidul,Kebon Lega,-6.94875,107.59291,684
Bojongloa kidul,Situsaeur,-6.9452,107.59465,686
Astana Anyar,Karasak,-6.9506,107.6077,682
Astana Anyar,Pelindunghewan,-6.9395,107.6044,690
Astana Anyar,Nyengseret,-6.9275,107.6003,703
Astana Anyar,Panjunan,-6.9324,107.5997,695
Astana Anyar,Cibadak,-6.9207,107.5929,714
Astana Anyar,Karanganyar,-6.9244,107.6016,703
Regol,Ciseureuh,-6.94632,107.61198,685
Regol,Pasirluyu,-6.95163,107.61642,681
Regol,Ancol,-6.94031,107.61425,689
Regol,Cigereleng,-6.945662,107.6114,687
Regol,Ciateul,-6.93583,107.61135,695
Regol,Pungkur,-6.93031,107.61034,698
Regol,Balonggede,-6.92522,107.60899,704
Lengkong,Cijagra,-6.9449,107.6262,686
Lengkong,Turangga,-6.9397,107.6312,683
Lengkong,Lingkar Selatan,-6.9306,107.6234,692
Lengkong,Malabar,-6.9206,107.6223,695
Lengkong,Burangrang,-6.9294,107.6195,696
